"","Character","Category","year","count"
"1","Al Sharpton","News Entertainer",2000,1
"2","Al Sharpton","News Entertainer",2001,1
"3","Al Sharpton","News Entertainer",2002,2
"4","Al Sharpton","News Entertainer",2003,3
"5","Al Sharpton","News Entertainer",2004,2
"6","Al Sharpton","News Entertainer",2005,2
"7","Al Sharpton","News Entertainer",2006,1
"8","Al Sharpton","News Entertainer",2007,2
"9","Al Sharpton","News Entertainer",2008,1
"10","Al Sharpton","News Entertainer",2011,1
"11","Al Sharpton","News Entertainer",2012,2
"12","Al Sharpton","News Entertainer",2013,2
"13","Al Sharpton","News Entertainer",2014,4
"14","Al Sharpton","News Entertainer",2016,1
"15","Alex Trebek","News Entertainer",1996,1
"16","Alex Trebek","News Entertainer",1997,2
"17","Alex Trebek","News Entertainer",1998,2
"18","Alex Trebek","News Entertainer",1999,2
"19","Alex Trebek","News Entertainer",2000,2
"20","Alex Trebek","News Entertainer",2001,2
"21","Alex Trebek","News Entertainer",2002,1
"22","Alex Trebek","News Entertainer",2005,1
"23","Alex Trebek","News Entertainer",2009,1
"24","Alex Trebek","News Entertainer",2015,1
"25","Barbara Walters","News Entertainer",1995,1
"26","Barbara Walters","News Entertainer",1996,5
"27","Barbara Walters","News Entertainer",1997,5
"28","Barbara Walters","News Entertainer",1998,6
"29","Barbara Walters","News Entertainer",1999,5
"30","Barbara Walters","News Entertainer",2000,1
"31","Barbara Walters","News Entertainer",2003,1
"32","Barbara Walters","News Entertainer",2004,2
"33","Barbara Walters","News Entertainer",2009,3
"34","Barbara Walters","News Entertainer",2010,2
"35","Bill Cosby","Musical / Acting Entertainer",1981,2
"36","Bill Cosby","Musical / Acting Entertainer",1982,3
"37","Bill Cosby","Musical / Acting Entertainer",1993,1
"38","Bill Cosby","Musical / Acting Entertainer",1994,1
"39","Bill Cosby","Musical / Acting Entertainer",2003,1
"40","Bill Cosby","Musical / Acting Entertainer",2005,3
"41","Bill Cosby","Musical / Acting Entertainer",2009,1
"42","Bill Cosby","Musical / Acting Entertainer",2010,1
"43","Bill Cosby","Musical / Acting Entertainer",2014,1
"44","Bill Cosby","Musical / Acting Entertainer",2015,2
"45","Burt Reynolds","Acting Entertainer",1988,2
"46","Burt Reynolds","Acting Entertainer",1989,1
"47","Burt Reynolds","Acting Entertainer",1991,1
"48","Burt Reynolds","Acting Entertainer",1993,2
"49","Burt Reynolds","Acting Entertainer",1996,2
"50","Burt Reynolds","Acting Entertainer",1997,6
"51","Burt Reynolds","Acting Entertainer",1998,2
"52","Burt Reynolds","Acting Entertainer",1999,1
"53","Burt Reynolds","Acting Entertainer",2009,1
"54","Burt Reynolds","Acting Entertainer",2015,1
"55","Charles Barkley","Athlete / News Entertainer",2007,1
"56","Charles Barkley","Athlete / News Entertainer",2008,2
"57","Charles Barkley","Athlete / News Entertainer",2009,3
"58","Charles Barkley","Athlete / News Entertainer",2011,1
"59","Charles Barkley","Athlete / News Entertainer",2012,1
"60","Charles Barkley","Athlete / News Entertainer",2013,3
"61","Charles Barkley","Athlete / News Entertainer",2014,1
"62","Charles Barkley","Athlete / News Entertainer",2015,2
"63","Charles Barkley","Athlete / News Entertainer",2016,2
"64","Chris Matthews","News Entertainer",2000,1
"65","Chris Matthews","News Entertainer",2001,3
"66","Chris Matthews","News Entertainer",2002,3
"67","Chris Matthews","News Entertainer",2003,5
"68","Chris Matthews","News Entertainer",2004,3
"69","Chris Matthews","News Entertainer",2005,4
"70","Chris Matthews","News Entertainer",2006,2
"71","Chris Matthews","News Entertainer",2007,1
"72","Chris Matthews","News Entertainer",2012,1
"73","Dan Rather","News Entertainer",1981,3
"74","Dan Rather","News Entertainer",1982,2
"75","Dan Rather","News Entertainer",1995,1
"76","Dan Rather","News Entertainer",1997,1
"77","Dan Rather","News Entertainer",1998,1
"78","Dan Rather","News Entertainer",2000,2
"79","Dan Rather","News Entertainer",2001,2
"80","Dan Rather","News Entertainer",2002,2
"81","Dan Rather","News Entertainer",2005,2
"82","Dan Rather","News Entertainer",2006,1
"83","Dan Rather","News Entertainer",2007,2
"84","Ed McMahon","Musical / Acting Entertainer",1982,1
"85","Ed McMahon","Musical / Acting Entertainer",1983,2
"86","Ed McMahon","Musical / Acting Entertainer",1986,3
"87","Ed McMahon","Musical / Acting Entertainer",1989,1
"88","Ed McMahon","Musical / Acting Entertainer",1990,3
"89","Ed McMahon","Musical / Acting Entertainer",1991,2
"90","Ed McMahon","Musical / Acting Entertainer",1992,4
"91","Elton John","Musical Entertainer",1994,1
"92","Elton John","Musical Entertainer",1997,2
"93","Elton John","Musical Entertainer",2000,1
"94","Elton John","Musical Entertainer",2001,1
"95","Elton John","Musical Entertainer",2003,2
"96","Elton John","Musical Entertainer",2004,3
"97","Elton John","Musical Entertainer",2005,2
"98","Elton John","Musical Entertainer",2007,1
"99","Elton John","Musical Entertainer",2013,1
"100","Elton John","Musical Entertainer",2014,1
"101","Frank Sinatra","Musical / Acting Entertainer",1981,5
"102","Frank Sinatra","Musical / Acting Entertainer",1982,3
"103","Frank Sinatra","Musical / Acting Entertainer",1983,3
"104","Frank Sinatra","Musical / Acting Entertainer",1984,1
"105","Frank Sinatra","Musical / Acting Entertainer",1990,1
"106","Frank Sinatra","Musical / Acting Entertainer",1991,4
"107","Frank Sinatra","Musical / Acting Entertainer",1992,1
"108","Frank Sinatra","Musical / Acting Entertainer",1993,1
"109","Frank Sinatra","Musical / Acting Entertainer",1994,1
"110","Frank Sinatra","Musical / Acting Entertainer",1996,2
"111","Frank Sinatra","Musical / Acting Entertainer",2015,1
"112","Kathie Lee Gifford","News Entertainer",1990,2
"113","Kathie Lee Gifford","News Entertainer",2000,2
"114","Kathie Lee Gifford","News Entertainer",2009,5
"115","Kathie Lee Gifford","News Entertainer",2010,1
"116","Kathie Lee Gifford","News Entertainer",2011,3
"117","Kathie Lee Gifford","News Entertainer",2014,1
"118","Kim Kardashian","Reality TV Star",2009,1
"119","Kim Kardashian","Reality TV Star",2010,3
"120","Kim Kardashian","Reality TV Star",2011,3
"121","Kim Kardashian","Reality TV Star",2012,2
"122","Kim Kardashian","Reality TV Star",2013,2
"123","Kim Kardashian","Reality TV Star",2014,3
"124","Larry King","News Entertainer",1992,1
"125","Larry King","News Entertainer",1993,1
"126","Larry King","News Entertainer",1994,1
"127","Larry King","News Entertainer",1996,1
"128","Larry King","News Entertainer",1997,5
"129","Larry King","News Entertainer",1998,1
"130","Larry King","News Entertainer",1999,2
"131","Larry King","News Entertainer",2004,1
"132","Larry King","News Entertainer",2006,1
"133","Larry King","News Entertainer",2007,2
"134","Larry King","News Entertainer",2008,1
"135","Larry King","News Entertainer",2009,1
"136","Larry King","News Entertainer",2010,3
"137","Martha Stewart","News Entertainer",1994,1
"138","Martha Stewart","News Entertainer",1996,2
"139","Martha Stewart","News Entertainer",1997,1
"140","Martha Stewart","News Entertainer",1998,4
"141","Martha Stewart","News Entertainer",1999,2
"142","Martha Stewart","News Entertainer",2001,3
"143","Martha Stewart","News Entertainer",2002,1
"144","Martha Stewart","News Entertainer",2003,1
"145","Martha Stewart","News Entertainer",2004,2
"146","Martha Stewart","News Entertainer",2005,1
"147","Martha Stewart","News Entertainer",2010,1
"148","Martha Stewart","News Entertainer",2013,1
"149","Matthew McConaughey","Acting Entertainer",2009,1
"150","Matthew McConaughey","Acting Entertainer",2012,1
"151","Matthew McConaughey","Acting Entertainer",2013,6
"152","Matthew McConaughey","Acting Entertainer",2014,5
"153","Matthew McConaughey","Acting Entertainer",2015,1
"154","Michael Jackson","Musical / Acting Entertainer",1983,1
"155","Michael Jackson","Musical / Acting Entertainer",1984,1
"156","Michael Jackson","Musical / Acting Entertainer",1987,1
"157","Michael Jackson","Musical / Acting Entertainer",1991,2
"158","Michael Jackson","Musical / Acting Entertainer",1993,2
"159","Michael Jackson","Musical / Acting Entertainer",1994,2
"160","Michael Jackson","Musical / Acting Entertainer",1995,1
"161","Michael Jackson","Musical / Acting Entertainer",1996,3
"162","Michael Jackson","Musical / Acting Entertainer",1999,1
"163","Michael Jackson","Musical / Acting Entertainer",2003,4
"164","Michael Jackson","Musical / Acting Entertainer",2004,1
"165","Michael Jackson","Musical / Acting Entertainer",2005,1
"166","Michael Jackson","Musical / Acting Entertainer",2016,1
"167","Oprah Winfrey","News Entertainer",1988,1
"168","Oprah Winfrey","News Entertainer",1997,3
"169","Oprah Winfrey","News Entertainer",1998,5
"170","Oprah Winfrey","News Entertainer",2000,1
"171","Oprah Winfrey","News Entertainer",2004,1
"172","Oprah Winfrey","News Entertainer",2005,1
"173","Oprah Winfrey","News Entertainer",2006,2
"174","Oprah Winfrey","News Entertainer",2007,2
"175","Oprah Winfrey","News Entertainer",2009,1
"176","Oprah Winfrey","News Entertainer",2013,1
"177","Oprah Winfrey","News Entertainer",2014,1
"178","Prince","Musical Entertainer",1985,2
"179","Prince","Musical Entertainer",1999,1
"180","Prince","Musical Entertainer",2004,4
"181","Prince","Musical Entertainer",2005,1
"182","Prince","Musical Entertainer",2006,1
"183","Prince","Musical Entertainer",2007,2
"184","Prince","Musical Entertainer",2010,1
"185","Prince","Musical Entertainer",2011,1
"186","Prince","Musical Entertainer",2012,1
"187","Regis Philbin","News Entertainer",1990,2
"188","Regis Philbin","News Entertainer",1991,1
"189","Regis Philbin","News Entertainer",1999,2
"190","Regis Philbin","News Entertainer",2000,3
"191","Regis Philbin","News Entertainer",2003,4
"192","Regis Philbin","News Entertainer",2004,1
"193","Regis Philbin","News Entertainer",2007,1
"194","Regis Philbin","News Entertainer",2008,1
"195","Regis Philbin","News Entertainer",2011,2
"196","Sean Connery","Acting Entertainer",1996,1
"197","Sean Connery","Acting Entertainer",1998,2
"198","Sean Connery","Acting Entertainer",1999,4
"199","Sean Connery","Acting Entertainer",2000,2
"200","Sean Connery","Acting Entertainer",2001,3
"201","Sean Connery","Acting Entertainer",2002,1
"202","Sean Connery","Acting Entertainer",2004,1
"203","Sean Connery","Acting Entertainer",2005,2
"204","Sean Connery","Acting Entertainer",2007,1
"205","Sean Connery","Acting Entertainer",2008,1
"206","Sean Connery","Acting Entertainer",2009,1
"207","Sean Connery","Acting Entertainer",2015,1
"208","Steve Harvey","Acting Entertainer",2000,1
"209","Steve Harvey","Acting Entertainer",2004,1
"210","Steve Harvey","Acting Entertainer",2010,1
"211","Steve Harvey","Acting Entertainer",2012,1
"212","Steve Harvey","Acting Entertainer",2013,4
"213","Steve Harvey","Acting Entertainer",2014,1
"214","Steve Harvey","Acting Entertainer",2015,2
"215","Steve Harvey","Acting Entertainer",2016,2
"216","Steve Harvey","Acting Entertainer",2017,1
"217","Ted Koppel","News Entertainer",1981,2
"218","Ted Koppel","News Entertainer",1983,3
"219","Ted Koppel","News Entertainer",1987,2
"220","Ted Koppel","News Entertainer",1991,1
"221","Ted Koppel","News Entertainer",1992,1
"222","Ted Koppel","News Entertainer",1995,3
"223","Ted Koppel","News Entertainer",1996,3
"224","Ted Koppel","News Entertainer",1997,4
"225","Ted Koppel","News Entertainer",1998,2
"226","Ted Koppel","News Entertainer",2000,2
"227","Ted Koppel","News Entertainer",2002,1
"228","Ted Koppel","News Entertainer",2004,2
"229","Tom Brokaw","News Entertainer",1984,1
"230","Tom Brokaw","News Entertainer",1996,2
"231","Tom Brokaw","News Entertainer",1998,2
"232","Tom Brokaw","News Entertainer",1999,5
"233","Tom Brokaw","News Entertainer",2000,5
"234","Tom Brokaw","News Entertainer",2001,2
"235","Tom Brokaw","News Entertainer",2002,3
"236","Tom Brokaw","News Entertainer",2003,1
"237","Tom Brokaw","News Entertainer",2004,2
"238","Tom Brokaw","News Entertainer",2008,1
"239","Tom Snyder","News Entertainer",1976,2
"240","Tom Snyder","News Entertainer",1977,3
"241","Tom Snyder","News Entertainer",1978,4
"242","Tom Snyder","News Entertainer",1979,2
"243","Tom Snyder","News Entertainer",1980,1
"244","Tom Snyder","News Entertainer",1981,2
"245","Tom Snyder","News Entertainer",1982,2
"246","Tom Snyder","News Entertainer",1983,2
"247","Tom Snyder","News Entertainer",1984,1
"248","Tom Snyder","News Entertainer",1995,1
"249","Whoopi Goldberg","Acting Entertainer",1991,1
"250","Whoopi Goldberg","Acting Entertainer",1993,2
"251","Whoopi Goldberg","Acting Entertainer",1994,2
"252","Whoopi Goldberg","Acting Entertainer",1998,1
"253","Whoopi Goldberg","Acting Entertainer",2008,1
"254","Whoopi Goldberg","Acting Entertainer",2009,4
"255","Whoopi Goldberg","Acting Entertainer",2010,3
"256","Whoopi Goldberg","Acting Entertainer",2011,1
"257","Wolf Blitzer","News Entertainer",1997,1
"258","Wolf Blitzer","News Entertainer",2005,3
"259","Wolf Blitzer","News Entertainer",2006,1
"260","Wolf Blitzer","News Entertainer",2007,1
"261","Wolf Blitzer","News Entertainer",2009,1
"262","Wolf Blitzer","News Entertainer",2010,2
"263","Wolf Blitzer","News Entertainer",2011,1
"264","Wolf Blitzer","News Entertainer",2012,1
"265","Wolf Blitzer","News Entertainer",2013,1
"266","Wolf Blitzer","News Entertainer",2015,1
"267","Wolf Blitzer","News Entertainer",2016,1
